Model Name,Model Date,Input Price,Cached Input Price,Output Price,Minimum Tokens
babbage-002,,0.4,,0.4,0
chat-latest,,5,0.5,30,0
chatgpt-image-latest,,5,1.25,10,0
computer-use-preview,2025-03-11,3,,12,0
davinci-002,,2,,2,0
google/gemini-2.0-flash,2025-02-05,0.1,0.025,0.4,0
google/gemini-2.0-flash-lite,2025-02-25,0.075,0.075,0.3,0
google/gemini-2.5-flash,,0.3,0.03,2.5,0
google/gemini-2.5-flash-lite,,0.1,0.01,0.4,0
google/gemini-2.5-pro,,1.25,0.125,10,0
google/gemini-2.5-pro,,2.5,0.25,15,200001
google/gemini-3-flash-preview,,0.5,0.05,3,0
google/gemini-3-pro-image,,2,,12,0
google/gemini-3.1-flash-image,,0.5,,3,0
google/gemini-3.1-flash-lite,,0.25,0.025,1.5,0
google/gemini-3.1-flash-lite-image,,0.25,,1.5,0
google/gemini-3.1-flash-live-preview,,0.75,,4.5,0
google/gemini-3.1-pro-preview,,2,0.2,12,0
google/gemini-3.1-pro-preview,,4,0.4,18,200001
google/gemini-3.1-pro-preview-customtools,,2,0.2,12,0
google/gemini-3.1-pro-preview-customtools,,4,0.4,18,200001
google/gemini-3.5-flash,,1.5,0.15,9,0
google/gemini-3.5-flash-lite,,0.3,0.03,2.5,0
google/gemini-3.6-flash,,0.75,0.075,3.75,0
google/gemini-3.7-flash,,0.75,0.075,3.75,0
google/gemini-3.8-flash,,0.75,0.075,3.75,0
google/gemini-3.8-live,,0.75,,4.5,0
google/gemini-3.8-live-extended-thinking,,0.75,,4.5,0
google/gemini-omni-1.1-flash,,1.5,,9,0
google/gemini-omni-flash-preview,,1.5,,9,0
google/gemini-robotics-er-2-preview,,1,0.1,5,0
google/gemini-robotics-er-2-streaming-preview,,1,,5,0
gpt-3.5-turbo,,0.5,,1.5,0
gpt-3.5-turbo-0125,,0.5,,1.5,0
gpt-3.5-turbo-1106,,1,,2,0
gpt-3.5-turbo-instruct,,1.5,,2,0
gpt-4-0613,,30,,60,0
gpt-4-turbo,2024-04-09,10,,30,0
gpt-4.1,,2,0.5,8,0
gpt-4.1,2025-04-14,2,0.5,8,0
gpt-4.1-mini,,0.4,0.1,1.6,0
gpt-4.1-mini,2025-04-14,0.4,0.1,1.6,0
gpt-4.1-nano,,0.1,0.025,0.4,0
gpt-4.1-nano,2025-04-14,0.1,0.025,0.4,0
gpt-4.5-preview,2025-02-27,75,37.5,150,0
gpt-4o,,2.5,1.25,10,0
gpt-4o,2024-05-13,5,,15,0
gpt-4o,2024-08-06,2.5,1.25,10,0
gpt-4o,2024-11-20,2.5,1.25,10,0
gpt-4o-audio-preview,2024-10-01,2.5,,10,0
gpt-4o-audio-preview,2024-12-17,2.5,,10,0
gpt-4o-mini,,0.15,0.075,0.6,0
gpt-4o-mini,2024-07-18,0.15,0.075,0.6,0
gpt-4o-mini-audio-preview,2024-12-17,0.15,,0.6,0
gpt-4o-mini-realtime-preview,2024-12-17,0.6,0.3,2.4,0
gpt-4o-mini-search-preview,2025-03-11,0.15,,0.6,0
gpt-4o-realtime-preview,2024-10-01,5,2.5,20,0
gpt-4o-realtime-preview,2024-12-17,5,2.5,20,0
gpt-4o-search-preview,2025-03-11,2.5,,10,0
gpt-5,,1.25,0.125,10,0
gpt-5,2025-08-07,1.25,0.125,10,0
gpt-5-chat,,1.25,0.125,10,0
gpt-5-chat-latest,,1.25,0.125,10,0
gpt-5-codex,,1.25,0.125,10,0
gpt-5-mini,,0.25,0.025,2,0
gpt-5-mini,2025-08-07,0.25,0.025,2,0
gpt-5-nano,,0.05,0.005,0.4,0
gpt-5-nano,2025-08-07,0.05,0.005,0.4,0
gpt-5-pro,,15,,120,0
gpt-5-search-api,,1.25,0.125,10,0
gpt-5.1,,1.25,0.125,10,0
gpt-5.1-chat-latest,,1.25,0.125,10,0
gpt-5.1-codex,,1.25,0.125,10,0
gpt-5.1-codex-max,,1.25,0.125,10,0
gpt-5.1-codex-mini,,0.25,0.025,2,0
gpt-5.2,,1.75,0.175,14,0
gpt-5.2-chat-latest,,1.75,0.175,14,0
gpt-5.2-codex,,1.75,0.175,14,0
gpt-5.2-pro,,21,,168,0
gpt-5.3-chat-latest,,1.75,0.175,14,0
gpt-5.3-codex,,1.75,0.175,14,0
gpt-5.4,,2.5,0.25,15,0
gpt-5.4,,5,0.5,22.5,272000
gpt-5.4-mini,,0.75,0.075,4.5,0
gpt-5.4-nano,,0.2,0.02,1.25,0
gpt-5.4-pro,,30,,180,0
gpt-5.4-pro,,60,,270,272000
gpt-5.5,,5,0.5,30,0
gpt-5.5,,10,1,45,272000
gpt-5.5-cyber,,12.5,1.25,75,0
gpt-5.5-pro,,30,,180,0
gpt-5.5-pro,,60,,270,272000
gpt-5.6,,4,0.4,20,0
gpt-5.6,,8,0.8,30,272001
gpt-5.6-cyber,,12.5,1.25,75,0
gpt-5.6-luna,,0.2,0.02,1.2,0
gpt-5.6-luna,,0.4,0.04,1.8,272000
gpt-5.6-sol,,4,0.4,20,0
gpt-5.6-sol,,8,0.8,30,272000
gpt-5.6-terra,,2,0.2,12,0
gpt-5.6-terra,,4,0.4,18,272000
gpt-6-astra,,10,1,50,0
gpt-6-astra,,20,2,75,272000
gpt-6-luna,,0.1,0.01,0.5,0
gpt-6-luna,,0.2,0.02,0.75,272000
gpt-6-sol,,2,0.2,10,0
gpt-6-sol,,4,0.4,15,272000
gpt-audio,,2.5,,10,0
gpt-audio-1.5,,2.5,,10,0
gpt-audio-mini,,0.6,,2.4,0
gpt-image-1.5,,5,1.25,10,0
gpt-realtime,,4,0.4,16,0
gpt-realtime-1.5,,4,0.4,16,0
gpt-realtime-2,,4,0.4,24,0
gpt-realtime-2.1,,4,0.4,24,0
gpt-realtime-2.1-mini,,0.6,0.06,2.4,0
gpt-realtime-mini,,0.6,0.06,2.4,0
gpt-rosalind-research,,5,0.5,25,0
o1,,15,7.5,60,0
o1,2024-12-17,15,7.5,60,0
o1-mini,2024-09-12,1.1,0.55,4.4,0
o1-preview,2024-09-12,15,7.5,60,0
o1-pro,,150,,600,0
o1-pro,2025-03-19,150,,600,0
o3,,2,0.5,8,0
o3,2025-04-16,2,0.5,8,0
o3-mini,,1.1,0.55,4.4,0
o3-mini,2025-01-31,1.1,0.55,4.4,0
o3-pro,,20,,80,0
o3-pro,2025-06-10,20,,80,0
o4-mini,,1.1,0.275,4.4,0
o4-mini,2025-04-16,1.1,0.275,4.4,0
